Id,price,floor,floorTotal,metroDistance,area,rooms,distanceToCentre
1092,4249170,8,8,120,38.8,1,23.738830459584477
1093,4447380,8,8,120,40.9,1,23.738830459584477
1094,4840550,8,8,120,44.2,1,23.738830459584477
1095,5532370,6,8,120,58.0,3,23.89631215229193
1096,3064850,8,8,120,31.9,1,23.89631215229193
1097,4759220,4,8,120,46.4,2,23.89631215229193
1098,5092300,7,8,120,49.3,2,23.89631215229193
1099,4493440,3,8,120,43.2,2,23.89631215229193
1100,5026240,6,8,120,46.7,2,23.89631215229193
1101,45000000,28,32,7,111.5,2,9.987354761409721
1102,21000000,2,11,4,91.0,2,8.015262215229212
1103,7000000,4,19,80,39.0,1,9.177716749818016
1104,3400000,7,9,360,64.7,2,82.52547179788611
1105,142463840,5,7,13,147.0,3,1.4401462482079053
1106,2855000,12,17,240,55.5,2,42.79632511003181
1107,5500000,8,9,160,60.0,3,36.48563835083189
1108,3495430,10,14,120,39.6,1,25.621862279370422
1109,1650000,4,4,280,33.0,1,64.31442367391479
1110,73000000,14,19,2,137.0,3,8.307277144832305
1111,48933232,5,33,11,152.0,4,6.394480202929105
1112,57950000,30,53,11,104.0,3,6.394480202929105
1113,2200000,1,5,232,31.0,1,42.56553360142341
1114,4250000,13,16,200,36.0,1,36.3105245133804
1115,2900000,23,25,200,25.0,1,30.84375974457628
1116,109015808,4,5,7,161.0,4,1.3020763646472497
1117,3599000,3,9,200,45.0,2,36.48563835083189
1118,4976100,1,17,168,51.3,1,22.57236256901755
1119,5111900,1,17,168,52.7,1,22.57236256901755
1120,5080300,4,17,168,50.3,1,22.57236256901755
1121,4655600,2,17,168,45.2,1,22.57236256901755
1122,4841000,6,17,168,47.0,1,22.57236256901755
1123,5272200,2,17,168,52.2,1,22.57236256901755
1124,5138100,2,17,168,51.9,1,22.733791818566882
1125,5286600,5,17,168,53.4,1,22.733791818566882
1126,5019700,8,17,168,49.7,1,22.733791818566882
1127,5120700,9,17,168,50.7,1,22.733791818566882
1128,5088200,14,17,168,49.4,1,22.733791818566882
1129,4732200,1,17,168,47.8,1,22.733791818566882
1130,4777300,2,17,168,47.3,1,22.733791818566882
1131,3676800,10,13,160,38.3,1,30.51228653115017
1132,3648000,8,13,160,38.0,1,30.606705125283607
1133,34500000,21,30,15,138.0,3,5.301289306114624
1134,5100000,11,16,120,38.0,1,15.568149265150907
1135,4200000,1,5,160,31.5,1,19.37135792021674
1136,4900000,5,14,80,38.5,1,15.955541159396452
1137,3648200,9,13,120,49.3,1,24.385860803044363
1138,4157010,5,12,88,42.9,1,19.522161273638496
1139,4120800,1,12,88,40.4,1,19.522161273638496
1140,4191390,2,12,88,44.7,1,19.522161273638496
1141,4320550,1,12,88,44.2,1,19.522161273638496
1142,3048780,7,16,64,35.7,1,19.275858206836155
1143,2716740,2,16,64,38.7,1,19.275858206836155
1144,2909320,1,16,64,42.1,1,19.275858206836155
1145,3361980,2,16,64,40.9,1,19.275858206836155
1146,3479190,1,16,64,42.9,1,19.275858206836155
1147,3315340,2,16,64,39.8,1,19.275858206836155
1148,2575440,2,16,64,29.2,1,19.275858206836155
1149,3045120,2,16,64,36.6,1,19.275858206836155
1150,2935640,11,16,64,31.6,1,19.210699850818
1151,2900000,1,4,200,39.6,1,33.14733559444133
1152,19950000,10,30,15,94.0,3,5.301289306114624
1153,7950000,14,25,80,60.0,2,23.680735791127983
1154,29500000,15,30,15,116.0,3,5.301289306114624
1155,19929000,6,6,4,45.5,1,1.8288248711820698
1156,20499000,6,6,3,69.0,2,2.585983038552141
1157,23500000,14,16,9,103.0,3,7.820164045132099
1158,85000000,3,18,10,164.0,4,4.12461774514999
1159,225000000,15,18,10,260.0,5,4.12461774514999
1160,36000000,8,18,10,68.0,2,4.12461774514999
1161,60000000,2,18,10,82.0,2,4.12461774514999
1162,43000000,13,48,80,206.0,4,12.039893110333715
1163,97866464,4,7,10,138.0,3,2.6882830548523318
1164,31500000,5,15,8,96.0,3,4.5216626908554725
1165,33000000,6,15,8,126.0,3,4.5216626908554725
1166,64000000,4,14,7,110.0,3,3.73856621393997
1167,129146568,8,12,5,139.0,4,3.7890043647215585
1168,75000000,5,13,7,102.0,2,3.73856621393997
1169,100750000,6,12,5,155.0,4,3.73856621393997
